TERYT Gminy,Gmina,Liczba wyborców uprawnionych do głosowania,Liczba głosów ważnych,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
120801,gm. Charsznica,5846,3950,56,600,260,2096,308,544,86,0,0,0,0,0
120802,gm. Gołcza,4762,3355,39,543,158,1944,238,361,72,0,0,0,0,0
120803,gm. Kozłów,3696,2275,37,245,115,1412,192,238,36,0,0,0,0,0
120804,gm. Książ Wielki,3972,2811,38,375,156,1641,213,319,69,0,0,0,0,0
120805,gm. Miechów,14854,10502,188,1611,664,4797,833,2092,317,0,0,0,0,0
120806,gm. Racławice,1981,1284,15,238,44,778,85,106,18,0,0,0,0,0
120807,gm. Słaboszów,2798,1771,38,264,137,1033,107,165,27,0,0,0,0,0
120901,gm. Dobczyce,11711,8819,164,1313,384,4060,887,1845,166,0,0,0,0,0
120902,gm. Lubień,7439,5480,94,636,158,3173,667,541,211,0,0,0,0,0
120903,gm. Myślenice,34683,26623,302,5916,1111,11344,2214,5124,612,0,0,0,0,0
120904,gm. Pcim,8484,6371,106,894,193,3634,559,816,169,0,0,0,0,0
120905,gm. Raciechowice,4989,3482,58,420,107,1906,325,574,92,0,0,0,0,0
120906,gm. Siepraw,7043,5419,103,895,192,2529,548,1030,122,0,0,0,0,0
120907,gm. Sułkowice,11517,8470,128,1288,404,4026,887,1544,193,0,0,0,0,0
120908,gm. Tokarnia,6557,4844,61,472,108,3080,477,528,118,0,0,0,0,0
120909,gm. Wiśniowa,5698,4357,62,484,93,2702,446,428,142,0,0,0,0,0
121001,m. Grybów,4517,3344,65,397,115,1892,375,402,98,0,0,0,0,0
121002,gm. Chełmiec,21603,16136,442,1648,433,9278,1546,2161,628,0,0,0,0,0
121003,gm. Gródek nad Dunajcem,6964,4960,123,571,139,3143,369,443,172,0,0,0,0,0
121004,gm. Grybów,18402,14023,271,1070,264,9232,1741,977,468,0,0,0,0,0
121005,gm. Kamionka Wielka,7706,5839,118,490,152,3486,604,540,449,0,0,0,0,0
121006,gm. Korzenna,10897,8050,268,681,165,5491,709,451,285,0,0,0,0,0
121007,gm. Krynica-Zdrój,14820,10813,206,1365,467,4614,739,2982,440,0,0,0,0,0
